inchikey,smiles,name,n_papers,papers
YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,Dichloromethane (reaction concentra…,14,"A_general_deoxygenation_approach_for_synthesis_of_ketones_from_aromatic_carboxylic_acids_and_alkenes; Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Angew Chem Int Ed - 2021 - Amos - Direct Photoexcitation of Ethynylbenziodoxolones  An Alternative to Photocatalysis for; Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata; Bond_cleavage,_fragment_modification_and_reassembly_in_enantioselective_three-component_reactions; Cardinale et al. - 2020 - Photoredox‐Catalyzed Addition of Carbamoyl Radicals to Olefins A 1,4‐Dihydropyridine Approach; Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene; Goto and Ohmiya - 2025 - Distal C–H functionalization of alkoxyarenes through organic photoredox-catalyzed radical–radical co; Lead-Halide_Perovskites_for_Photocatalytic_-Alkylation_of_Aldehydes; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_; Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst; Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an; ja4c02474"
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylacetamide (DMAc)",12,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Boselli et al. - 2025 - Visible‐Light Photoredox Catalytic Direct N ‐(Het)Arylation of Lactams; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Catalytic_direct_hydrocarboxylation_of_styrenes_with_CO2_and_H2; Ni_single_atoms_on_carbon_nitride_for_visible-light-promoted_full_heterogeneous_dual_catalysis; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac; Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation; Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides; Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source; fchem-10-1087834; gg3c00053
JGFZNNIVVJXRND-UHFFFAOYSA-N,CCN(C(C)C)C(C)C,"DIPEA (N,N-diisopropylethylamine)",12,"Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Photocatalytic_metalorganic_frameworks_for_the_aerobic_oxidation_of_arylboronic_acids; Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis; Synthesis_of_a_polyisobutylene-tagged_fac-Irppysub3sub_complex_and_its_application_as_recyclable_visible-light_photocata; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_; Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer; Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; fchem-10-1087834; ja4c05272; ol3c04246; sc5c11241"
BWHMMNNQKKPAPP-UHFFFAOYSA-L,C(=O)([O-])[O-].[K+].[K+],K2CO3 (potassium carbonate),12,"Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis; Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich; Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr; Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_; Photodehydrogenation_of_alcohols_catalysed_by_a_single_ruthenium_N-Heterocyclic_carbene_complex; Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis; Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac; Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives; Visible-Light-Mediated_Deaminative_Three-Component_Dicarbofunctionalization_of_Styrenes_with_Benzylic_Radicals; fchem-10-1087834"
NAMED__irdfcf3ppy2dtbbpypf6,,[Ir(dF(CF 3 )ppy) 2 (dtbbpy)]PF 6,12,"Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata; Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket; Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via; Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_; Photocatalytic_reverse_polarity_Povarov_reaction; Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis; Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_; au4c00902"
ZMANZCXQSJIPKH-UHFFFAOYSA-N,CCN(CC)CC,Et3N (used as reductant),11,"Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study; Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides; Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_; Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; fchem-10-1087834; ja4c02474; sc5c11241"
WSLDOOZREJYCGB-UHFFFAOYSA-N,C(CCl)Cl,"1,2-Dichloroethane (1,2-DCE)",11,"Atom-economic_generation_of_gold_carbenes_gold-catalyzed_formal_32_cycloaddition_between_ynamides_and_isoxazoles; Becker et al. - 2017 - Cooperative Light‐Activated Iodine and Photoredox Catalysis for the Amination of C−H Bonds; Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction; Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an; catalysts-13-01007-v2; d1ra07314a; molecules-27-01980-v2"
NAMED__none,,(none),11,"A_chiral_nickel_DBFOX_complex_as_a_bifunctional_catalyst_for_visible-light-promoted_asymmetric_photoredox_reactions; Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; Catalytic_intramolecular_aminoarylation_of_unactivated_alkenes_with_aryl_sulfonamides; Das et al. - 2018 - Copper catalyzed photoredox synthesis of α-keto esters, quinoxaline, and naphthoquinone controlled; Enantioselective_catalytic_-amination_through_proton-coupled_electron_transfer_followed_by_stereocontrolled_radicalradic; Photocatalytic_metalorganic_frameworks_for_the_aerobic_oxidation_of_arylboronic_acids; Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer; iOrthoi_CH_arylation_of_arenes_at_room_temperature_using_visible_light_ruthenium_CH_activation; ja4c05272; jo2c02952"
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,(NH4)2C2O4·H2O,10,"Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224; Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis; Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides; Electrochemical_deoxygenative_trifluoromethylallenylation_of_propargylic_alcohols_iviai_sodium-mediated_pre-association; NN_atropisomer_synthesis_iviai_electrolyte-_and_base-free_electrochemical_cobalt-catalysed_CH_annulation; Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; Photodehydrogenation_of_alcohols_catalysed_by_a_single_ruthenium_N-Heterocyclic_carbene_complex; iOrthoi_CH_arylation_of_arenes_at_room_temperature_using_visible_light_ruthenium_CH_activation; ja4c05272; ol3c02389"
TXNLQUKVUJITMX-UHFFFAOYSA-N,CC(C)(C)C1=CC(=NC=C1)C2=NC=CC(=C2)C(C)(C)C,"dtbbpy (4,4'-di-tert-butyl-2,2'-bip…",10,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium; NiPhotoredox-Catalyzed_Csp_sup3sup_Csp_sup3sup__Coupling_between_Aziridines_and_Acetals_as_Alcohol-Derived_Alkyl_Radical; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac; Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides; d3sc04645a; gg3c00053; ol3c02389
SEACYXSIPDVVMV-UHFFFAOYSA-L,C1=CC=C(C(=C1)C2=C3C=C(C(=O)C(=C3OC4=C(C(=C(C=C24)Br)[O-])Br)Br)Br)C(=O)[O-].[Na+].[Na+],cat-IV (eosin Y),9,"A_general_deoxygenation_approach_for_synthesis_of_ketones_from_aromatic_carboxylic_acids_and_alkenes; Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Boselli et al. - 2023 - Enantioselective Catalytic Addition of N‐Acyl Radicals In Batch and In Flow Organophotoredox α‐Amin; Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation; Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts; Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides; Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer; Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant; molecules-27-01980-v2"
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(=O)C,Acetone,9,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224; Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Direct_CH_difluoromethylation_of_heterocycles_via_organic_photoredox_catalysis; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst; Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant; sc5c11241
LJXTYJXBORAIHX-UHFFFAOYSA-N,CCOC(=O)C1=C(NC(=C(C1)C(=O)OCC)C)C,"Hantzsch ester (1,4-dihydropyridine…",9,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Boselli et al. - 2023 - Enantioselective Catalytic Addition of N‐Acyl Radicals In Batch and In Flow Organophotoredox α‐Amin; Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation; Photocatalytic_reverse_polarity_Povarov_reaction; Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides; Synthesis_of_a_polyisobutylene-tagged_fac-Irppysub3sub_complex_and_its_application_as_recyclable_visible-light_photocata; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_; Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes
OISVCGZHLKNMSJ-UHFFFAOYSA-N,CC1=NC(=CC=C1)C,DIPEA (diisopropylethylamine) inste…,8,"Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Boselli et al. - 2023 - Enantioselective Catalytic Addition of N‐Acyl Radicals In Batch and In Flow Organophotoredox α‐Amin; Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction; Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene; Lead-Halide_Perovskites_for_Photocatalytic_-Alkylation_of_Aldehydes; PhosphinePhotoredox_Catalyzed_Anti-Markovnikov_Hydroamination_of_Olefins_with_Primary_Sulfonamides_via_-Scission_from_Ph; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; au4c00902"
IMNIMPAHZVJRPE-UHFFFAOYSA-N,C1CN2CCN1CC2,"1,4-Diazabicyclo[2.2.2]octane (DABC…",8,"Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for; Ni_single_atoms_on_carbon_nitride_for_visible-light-promoted_full_heterogeneous_dual_catalysis; Silverchiral_pyrrolidinopyridine_relay_catalytic_cycloisomerization2  3_cycloadditions_of_enynamides_to_asymmetrically_s; Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; fchem-10-1087834; jo3c00895; sc5c11241"
NAMED__dcm,,DCM,7,"Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich; Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_; d2ra07064b; fchem-10-1087834"
KLDYQWXVZLHTKT-UHFFFAOYSA-N,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.[Ru+2],[Ru(bpy) 3 ](PF 6 ) 2,7,"Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction; Catalytic_direct_hydrocarboxylation_of_styrenes_with_CO2_and_H2; Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via; Enantioselective_catalytic_-amination_through_proton-coupled_electron_transfer_followed_by_stereocontrolled_radicalradic; Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant; Zheng et al. - 2018 - Catalytic C−H Trifluoromethoxylation of Arenes and Heteroarenes"
GKOZUEZYRPOHIO-UHFFFAOYSA-N,[Ir],cat-I ([Ir(dF(CF3)ppy)2(dtbbpy)]PF6…,7,"1-s2.0-S2666554920300478-main; A_general_deoxygenation_approach_for_synthesis_of_ketones_from_aromatic_carboxylic_acids_and_alkenes; Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_; NiPhotoredox-Catalyzed_Csp_sup3sup_Csp_sup3sup__Coupling_between_Aziridines_and_Acetals_as_Alcohol-Derived_Alkyl_Radical; Photocatalytic_reverse_polarity_Povarov_reaction; Tertiary_Alcohols_as_Radical_Precursors_for_the_Introduction_of_Tertiary_Substituents_into_Heteroarenes"
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(=O)C,Ethyl acetate (EtOAc),7,"Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224; Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich; catalysts-13-01007-v2; d2ra07064b"
NAMED__ch2cl2,,CH 2 Cl 2,6,Access_to_a_new_class_of_synthetic_building_blocks_via_trifluoromethoxylation_of_pyridines_and_pyrimidines; Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; Caffeine_as_a_naturally_green_and_biodegradable_catalyst_promoted_convenient_and_expedient_synthetic_route_for_the_synth; Enantioselective_catalytic_-amination_through_proton-coupled_electron_transfer_followed_by_stereocontrolled_radicalradic; Ptscpiiscp_coordination_complexes_as_visible_light_photocatalysts_for_the_oxidation_of_sulfides_using_batch_and_flow_pro
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"Glyme (approx. 1,2-dimethoxyethane)",6,"Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis; ChromiumCatalyzed_PinacolType_CrossCoupling_Studies_on_Stereoselectivity; Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_"
SECXISVLQFMRJM-UHFFFAOYSA-N,CN1CCCC1=O,N-Methyl-2-pyrrolidone (NMP),6,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Electrochemical_selective_hydrocarboxylation_of_acrylamides_with_carbon_dioxide_for_precise_control_of_-_and_-carboxylat; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac; au4c00902; catalysts-13-01007-v2; fchem-10-1087834
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,Ethanol (EtOH),6,"Caffeine_as_a_naturally_green_and_biodegradable_catalyst_promoted_convenient_and_expedient_synthetic_route_for_the_synth; Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; Ptscpiiscp_coordination_complexes_as_visible_light_photocatalysts_for_the_oxidation_of_sulfides_using_batch_and_flow_pro; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; d2ra07064b; sc5c11241"
AZJPTIGZZTZIDR-UHFFFAOYSA-L,C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1I)[O-])I)I)I)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-].[K+].[K+],bengal rose,6,Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; catalysts-13-01007-v2; d1ra07314a; fchem-10-1087834; molecules-27-01980-v2
RIOQSEWOXXDEQQ-UHFFFAOYSA-N,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,Ph3P (triphenylphosphine),6,A_general_deoxygenation_approach_for_synthesis_of_ketones_from_aromatic_carboxylic_acids_and_alkenes; Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes; Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes; PhosphinePhotoredox_Catalyzed_Anti-Markovnikov_Hydroamination_of_Olefins_with_Primary_Sulfonamides_via_-Scission_from_Ph; Silverchiral_pyrrolidinopyridine_relay_catalytic_cycloisomerization2  3_cycloadditions_of_enynamides_to_asymmetrically_s
NAMED__k2co3,,K 2 CO 3,5,"Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction; Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis; ol3c02389"
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,benzaldehyde,5,"Aryl_radical-mediated_N-heterocyclic_carbene_catalysis; Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox; Green_synthesis_of_3,4-disubstituted_isoxazol-54H-one_using_Gluconic_acid_aqueous_solution_as_an_efficient_recyclable_me; NonoxidovanadiumIV_Complex-Catalyzed_Synthesis_of_2-Amino-3-cyano-4iHi-pyrans4iHi-chromenes,_Biscoumarins,_and_Xanthenes; d2ra07064b"
NAMED__facirppy3,,fac -Ir(ppy) 3,5,Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Boselli et al. - 2023 - Enantioselective Catalytic Addition of N‐Acyl Radicals In Batch and In Flow Organophotoredox α‐Amin; Visible-Light-Mediated_Deaminative_Three-Component_Dicarbofunctionalization_of_Styrenes_with_Benzylic_Radicals; molecules-27-01980-v2; ol5c01129
SJFYGUKHUNLZTK-UHFFFAOYSA-L,[Cl-].[Cl-].c1ccc(nc1)-c2ccccn2.c1ccc(nc1)-c2ccccn2.c1ccc(nc1)-c2ccccn2.[Ru+2],Ru(bpy)3Cl2·6H2O,5,"Angiolini_ChemCatChem_10.1002_cctc.202500240; Ptscpiiscp_coordination_complexes_as_visible_light_photocatalysts_for_the_oxidation_of_sulfides_using_batch_and_flow_pro; Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis; Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk; Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an"
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,benzene,5,"1-s2.0-S2666554920300478-main; Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis; Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; Zheng et al. - 2018 - Catalytic C−H Trifluoromethoxylation of Arenes and Heteroarenes; d1ra07314a"
CDBYLPFSWZWCQE-UHFFFAOYSA-L,C(=O)([O-])[O-].[Na+].[Na+],Na2CO3 (sodium carbonate),5,"Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224; Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr; Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac; fchem-10-1087834; ol3c04246"
KWYUFKZDYYNOTN-UHFFFAOYSA-M,[OH-].[K+],KOH,5,CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Photodehydrogenation_of_alcohols_catalysed_by_a_single_ruthenium_N-Heterocyclic_carbene_complex; au4c00902; fchem-10-1087834; sc5c11241
